date_int,date,temp,weather,rain,rain_total,hotel
20180101,2018-01-01,15,1,0.0,0,DON
20180102,2018-01-02,17,1,0.0,0,DON
20180103,2018-01-03,19,1,0.0,0,DON
20180104,2018-01-04,18,1,0.0,0,DON
20180105,2018-01-05,16,1,0.0,0,DON
20180106,2018-01-06,14,1,3.4,2,DON
20180107,2018-01-07,13,2,2.3,2,DON
20180108,2018-01-08,12,1,0.0,0,DON
20180109,2018-01-09,12,1,0.0,0,DON
20180110,2018-01-10,13,1,0.0,0,DON
20180111,2018-01-11,12,1,0.1,1,DON
20180112,2018-01-12,12,1,0.0,0,DON
20180113,2018-01-13,13,3,0.1,1,DON
20180114,2018-01-14,12,1,0.1,1,DON
20180115,2018-01-15,12,1,0.0,0,DON
20180116,2018-01-16,17,1,0.0,0,DON
20180117,2018-01-17,15,1,0.0,0,DON
20180118,2018-01-18,14,1,0.0,0,DON
20180119,2018-01-19,14,1,0.0,0,DON
20180120,2018-01-20,16,1,0.0,0,DON
20180121,2018-01-21,19,1,0.0,0,DON
20180122,2018-01-22,18,1,0.0,0,DON
20180123,2018-01-23,16,1,0.0,0,DON
20180124,2018-01-24,15,1,0.0,0,DON
20180125,2018-01-25,13,2,0.0,0,DON
20180126,2018-01-26,12,3,12.0,2,DON
20180127,2018-01-27,12,1,0.0,0,DON
20180128,2018-01-28,14,1,0.1,1,DON
20180129,2018-01-29,14,1,0.0,0,DON
20180130,2018-01-30,15,1,0.0,0,DON
20180131,2018-01-31,15,1,0.0,0,DON
